Temp(C);Modulus 0,1;Modulus 1;Modulus 10;Loss Modulus 0,1;Loss Modulus 1;Loss Modulus 10;Tan Delta 0,1;Tan Delta 1;Tan Delta 10
-79.2708333333333;5490520015.49141;5572687360.47555;5650932898.57077;128210352.202348;-11058668.5349899;-295898677.297532;0.0233512220774362;-0.0019844408666138;-0.0523628014362675
-75.3541666666667;5511576928.75369;5608198222.04192;5599381047.20996;83071712.0607717;94412490.0563743;-237338204.746535;0.015072222185159;0.0168347277179513;-0.0423865071416769
-71.4166666666667;5342727192.68363;5476771437.95041;5563070067.28778;160676496.986084;-5026654.26199982;-334254534.482941;0.030073872610624;-0.000917813408675123;-0.0600845451234635
-67.55;5268063613.0983;5389089260.32276;5276541497.43377;220717334.425094;52219061.3621322;-164477249.742274;0.0418972416878779;0.00968977480974304;-0.0311714121498461
-63.4166666666667;5155220309.70755;5410856380.62437;5431295188.26277;54819433.0324216;30841187.6685117;-285472709.425957;0.0106337711560442;0.0056998717945925;-0.0525607059698899
-59.2791666666667;5196365385.06671;5302230583.63847;5433662977.00405;198931699.846084;100554073.482428;-303863987.8662;0.038282854477049;0.0189644852098127;-0.0559224944852469
-55.5208333333333;5041213454.47868;5164778220.23011;5272117808.58859;212534471.674159;83173301.940971;-215385603.507623;0.0421593875350271;0.0161039445247012;-0.040853715969083
-51.5291666666667;4905411449.10623;5102369355.50099;5119454981.64452;188950778.35364;83398517.6086232;-220002644.225481;0.0385188439979009;0.0163450569329539;-0.042973840968284
-47.6916666666667;4742815197.96643;4973940589.74218;5001401058.99386;160207339.684784;101278371.48401;-250324741.594917;0.0337789546920309;0.0203617975841686;-0.0500509234596905
-44.1;4738294335.74571;4898047101.24898;5042972812.12163;228766192.916723;40443560.3617034;-172105434.107726;0.0482802833059376;0.00825707869395344;-0.03412777354144
-40.0625;4566007394.68933;4836144936.06682;4910937049.71941;287687895.071283;116750750.911981;-178690969.003105;0.0630064452821276;0.0241412845262932;-0.0363863285548151
-36.4625;4603372568.4009;4737212598.92488;4811421085.66279;221207529.849596;123985657.285778;-98117745.1418511;0.0480533623039852;0.0261727027648952;-0.0203926747202038
-32.3916666666667;4453371617.03164;4742052012.20472;4812449184.86454;269111056.112715;134129824.314826;-146045437.506318;0.0604286098836927;0.0282851862378593;-0.030347424335542
-28.6958333333333;4366979965.87014;4627338450.21834;4672665030.9351;321032934.344302;106157721.738049;-96066886.3143964;0.073513718142358;0.0229414214845339;-0.0205593351285383
-24.8;4215080894.01258;4423318022.79221;4677185186.93698;272819656.217211;140383308.208291;-138222023.409425;0.0647246548944634;0.031737104925518;-0.0295523948454016
-20.7583333333333;4171814669.13901;4443271278.02158;4649308751.51244;278218141.739478;70068403.409075;-161584178.361721;0.0666899572019811;0.0157695533368995;-0.034754452112727
-16.8541666666667;4035530984.54373;4203576519.10069;4428465819.85865;302424927.744729;174969657.286829;-76855936.698848;0.0749405540195406;0.0416239972061367;-0.0173549802177995
-12.9958333333333;3858521353.94338;4138585041.70127;4318130753.30289;265281703.837859;164936855.683342;-97384270.5617879;0.0687521668285553;0.0398534412175665;-0.0225524135616551
-9.05416666666667;3809753180.68721;4096613405.42988;4263401602.80148;238923023.177827;127584359.549477;-72457540.673311;0.0627135176076498;0.0311438612636401;-0.0169952416928537
-5.3125;3696355090.74271;3855276541.76299;4220015540.78819;286688664.316047;137333580.07316;-52924643.1365388;0.0775598277973998;0.0356222384011804;-0.0125413384441361
-1.3375;3555318397.38574;3875660927.48671;4098945534.07923;236708780.603294;217659946.697853;-13048485.3354424;0.0665787853986153;0.0561607299426477;-0.00318337612123786
2.62916666666667;3485748108.11391;3691005829.53657;3991342715.32598;266887284.216164;209562268.105623;13645826.7537425;0.0765652812361628;0.0567764663032068;0.00341885619126244
