Temp(C);Modulus ,1;Modulus 1,;Modulus 10,;Loss Modulus,1;Loss Modulus1,;Loss Modulus10,;Tan Delta,1;Tan Delta1,;Tan Delta10,
-42.6708333333333;4566813751.67882;4737692865.19558;4955011555.70202;295972455.413654;148826619.198412;-96804216.7573011;0.0648093991800849;0.0314133109581108;-0.0195366278502222
-38.5166666666667;4550691642.10594;4692969288.73427;4882847685.78488;205943555.107026;176965070.852378;-92186850.8210618;0.0452554405579808;0.0377085508053915;-0.0188797309998916
-34.6125;4374393998.05155;4656450205.19799;4724427721.70324;307020602.561039;122076399.710844;-114724502.704271;0.070185859503692;0.0262166230349829;-0.024283259150573
-30.3416666666667;4301463241.20892;4481910973.62344;4549354078.25414;315601180.660573;194232877.981678;-36846049.4428665;0.0733706562076475;0.0433370674082464;-0.00809918261121732
-26.3833333333333;4193155225.61179;4522406068.59636;4623331417.62679;285826616.367132;215814386.310659;-64066407.1656241;0.068165045410507;0.0477211429131225;-0.0138571954676159
-22.3291666666667;4045996690.29631;4398336411.32206;4471923733.36065;267241704.427384;226412720.922023;-61281124.6311596;0.0660508954612646;0.0514768993884138;-0.0137035263311852
-18.3791666666667;3990748193.08734;4250241008.52238;4374240928.16365;308421885.713139;248765053.312005;-16261820.1159637;0.0772842261126319;0.0585296346285288;-0.00371763247224487
-14.6041666666667;3815583539.90056;4042065154.23535;4378399151.32458;368984373.80898;219371151.532592;-26424543.7901486;0.0967045721710488;0.054272047372302;-0.00603520667642979
-10.7125;3757702083.55231;3967082806.26903;4124655321.7931;256414010.696713;287823459.5161;25565043.8105215;0.0682369184664885;0.072552924547293;0.0061981042816949
-6.825;3582011592.09578;3898443367.49527;4130892787.92663;329510087.882711;289310365.927742;45666521.0182917;0.0919902349310712;0.0742117657370568;0.0110548792628464
-2.95;3502404389.29602;3843073513.00231;4117021518.20218;288523213.837424;237441555.250139;23611588.2701484;0.0823786124524063;0.061784286573442;0.00573511412698643
0.8875;3457099243.04535;3740070019.64895;3969099508.38994;335616277.292894;338422133.201432;41732224.3760005;0.0970803132042142;0.0904855073363564;0.0105142802007827
