Temp(C);Modulus 0,1;Modulus 1;Modulus 10;Loss Modulus 0,1;Loss Modulus 1;Loss Modulus 10;Tan Delta 0,1;Tan Delta 1;Tan Delta 10
-7.05;2247940327.18773;2491402304.88692;2565587242.96624;168618850.040108;137645789.452998;-24350524.3366673;0.0750103763879966;0.0552483190623226;-0.00949120884640592
-6.32916666666667;2280685436.25462;2451886442.15634;2543933804.05748;136006492.559189;112827198.418795;-17069358.2968106;0.0596340426422599;0.0460164861140827;-0.00670982801108488
-5.33333333333333;2228100970.08832;2413699729.26609;2550858979.8573;86579151.1793424;108618325.344496;-40411401.7978858;0.0388578221281912;0.0450007612908513;-0.015842272002095
-4.38333333333333;2210523491.41586;2399642772.36738;2539709570.16263;166002039.751793;98604112.4520861;-62823069.1673415;0.0750962567900453;0.0410911630629119;-0.0247363202097627
-3.57083333333333;2207379140.47822;2404309228.00728;2540650985.84057;145389055.328637;86118963.2182812;-4344732.64526852;0.0658650127939232;0.0358185886470426;-0.00171008637923208
-2.65833333333333;2206267289.63593;2374292201.82934;2510124448.78873;111532716.66758;101046839.815623;-48102089.41233;0.0505526765462693;0.0425587211792082;-0.0191632289130294
-1.87916666666667;2173947355.16868;2375532090.3941;2496321389.88616;132652927.835533;95560813.3330361;-22471973.0047175;0.0610193837123716;0.0402271195238549;-0.00900203519296941
-1.025;2166223702.97395;2353978076.32496;2530411603.73204;164980543.44366;107869540.864577;-23972044.3416989;0.0761604368086095;0.0458243608763696;-0.00947357509202971
-0.191666666666667;2144638870.88197;2350486990.28823;2478141863.18873;117200861.453692;105505683.489508;-25651243.207093;0.0546482967575299;0.0448867336536801;-0.0103509987011343
0.6875;2148821385.21746;2326735026.55236;2484176812.00833;136957006.994565;120582718.419409;-19333075.629813;0.0637358730403295;0.0518248606065308;-0.00778248775866448
1.60833333333333;2102313542.61424;2330034242.42801;2485667004.64027;249313409.949611;113500773.773496;-45083228.5847241;0.118590022323496;0.0487120625554509;-0.0181372760311668
2.35;2128911481.95816;2305516359.18726;2518880646.80703;199565930.796582;130886387.148339;-42550711.1751861;0.093740830695799;0.0567709643988297;-0.016892706380957
3.20416666666667;2091690941.47188;2322324381.73791;2436252000.11149;109817233.584654;114361512.217345;-32613712.7501633;0.0525016537612283;0.0492444178413021;-0.0133868387788582
4.01666666666667;2092731802.12661;2236797229.59377;2507292445.86785;163332051.570586;109050801.023508;-33636897.2654044;0.0780472927322123;0.0487531008983382;-0.0134156258161427
4.88333333333333;2087845112.06245;2258025175.65186;2474963468.26333;140646928.524537;108239350.329891;-36803162.7282132;0.0673646372098938;0.0479354045725571;-0.0148701842270172
5.7375;2066882548.47073;2271165470.56944;2422577692.52342;126001861.46565;104923054.451577;17746242.9955011;0.060962274590241;0.0461978908235472;0.00732535557075
6.40416666666667;2075446251.83796;2259296871.37071;2436968798.00334;113634943.434928;107877543.560413;-98491.7633295306;0.0547520531231756;0.0477482817452687;-0.0000404156850141976
7.3375;2118371550.60801;2234478093.87866;2355933770.32149;75227565.3231316;132197628.237712;6239519.18183243;0.0355119786713242;0.0591626423189677;0.00264842724376797
8.06666666666667;1991700038.29141;2193093496.17324;2364737274.97819;125823563.415778;98231021.8150748;-28363500.6358228;0.063173952400843;0.0447910779848098;-0.0119943559633213
8.88333333333333;1975603093.83209;2160620516.75632;2326774364.96989;146908964.191225;107432479.11037;-5937524.29249829;0.0743615783199981;0.0497229746164103;-0.00255182641767464
9.775;1953414348.45798;2151654943.32698;2277637271.67177;142656798.545858;131352458.447104;33845773.3154111;0.0730294618028533;0.0610471762001026;0.0148600366425197
10.6125;1943719414.93921;2118266304.1709;2296268824.57555;128006308.963491;125014530.051563;9844105.771405;0.0658563720564031;0.0590173812449396;0.0042870005750414
11.4875;1943677403.51135;2117382514.65259;2301435317.72388;125035067.417767;115870381.070499;17433584.9372677;0.0643291253949265;0.0547234050855996;0.0075750922926261
12.55;1870889835.00762;2093567666.57406;2258078931.6464;108199772.355758;87264298.8157022;8571207.74462982;0.0578333209851008;0.041682100946134;0.00379579634020163
13.4083333333333;1912934969.81392;2045350140.18335;2237852512.00428;125707611.09928;127868562.114421;40496446.3607388;0.0657145240601188;0.0625167102699387;0.0180961194464371
14.1583333333333;1870506583.81343;2028783223.41121;2205563541.96332;123657048.333576;135297715.540827;-6823996.88289869;0.0661088548971984;0.0666890942213807;-0.00309399242101372
15.0541666666667;1821104586.61449;2007196634.65143;2187213849.13611;154637923.89884;110750902.496674;22982347.5667162;0.0849143563941697;0.0551769072270821;0.0105075905475789
15.8875;1820420757.16327;2008452764.00793;2204735192.91179;133788937.384519;131805721.823983;-36528683.4556612;0.0734934145625762;0.0656255024693538;-0.016568286102159
16.6958333333333;1830363585.59958;1962561172.32901;2149565259.31433;120153936.483158;98220491.8917029;22565251.8908157;0.0656448464274917;0.0500470982900077;0.0104975886603292
17.6583333333333;1801460772.2957;1988274676.33135;2148879597.9566;100260819.274787;112470053.496718;41337173.6157464;0.0556552886505649;0.0565666579349294;0.0192366169119268
18.5833333333333;1763782637.48063;1945489121.69669;2086286853.81903;128243058.111675;119435297.70645;26512518.3567557;0.072709105638355;0.0613908843665438;0.0127079928190237
19.4083333333333;1765988486.46082;1935421591.4906;2104928221.9025;135273536.686086;103116973.226817;41057284.4565201;0.0765993310393458;0.0532788172252432;0.0195053133067936
20.1541666666667;1750160665.14391;1929226979.29641;2100391082.10441;118779927.415152;132594946.427539;26139047.3150234;0.0678680133662959;0.0687295729587486;0.01244484778941
21.2166666666667;1730159689.14441;1913870781.34488;2104882603.9077;118192266.017679;119436045.983426;1824581.82405615;0.0683129232285646;0.0624054910851915;0.000866833057895404
22.1208333333333;1716430817.92243;1880549749.22607;2069338432.22353;112931060.248971;114645511.49842;35248839.6463496;0.0657941229380065;0.0609638280218865;0.0170338689396853
22.9625;1717038803.25681;1864018826.17592;2064171840.13901;114373685.268069;115857941.794706;28206432.9038725;0.0666110078881907;0.0621549204159014;0.0136647697422192
23.7291666666667;1681901185.75317;1853527612.74635;2054226213.29261;125145543.359415;116688645.081834;44264744.6831334;0.074407191349576;0.0629548997702485;0.0215481354471589
24.9583333333333;1701739043.77169;1852792926.09997;2037166002.82542;117160985.867291;122416594.511462;59497276.5914519;0.0688477979606194;0.0660713848736147;0.0292059049232772
26.15;1716961800.32546;1851663244.57249;2023400401.0628;118492510.734329;123436062.871379;62825295.9573279;0.0690128986631313;0.0666622633641344;0.0310493641912538
26.2;1713479571.47684;1860734119.45288;2050397942.6738;129517918.896498;133908815.527562;33861236.7171763;0.0755876644533714;0.0719655828995794;0.016514470685149
26.7541666666667;1665802386.05946;1836489703.57578;2022966868.41255;108896249.331089;116493076.128073;54717236.2486381;0.0653716492678878;0.0634324689657951;0.0270480140347407
28.0083333333333;1662377972.4411;1812679563.95526;1978127943.25231;101964472.083251;120094474.650502;55641579.2341149;0.0613365153855611;0.0662524568812679;0.0281284026262895
28.8583333333333;1628548953.28488;1806078652.63892;1963710622.93723;104034491.910222;131387250.712978;59642578.3213321;0.0638817099727819;0.0727472474806142;0.030372386656503
29.8041666666667;1599368847.98702;1784158761.32269;1956364264.73866;89771528.4255669;120373482.584847;48129247.5386263;0.0561293466097918;0.0674679211258127;0.0246013732749589
30.825;1601315142.89408;1778392173.37897;1961014525.31096;115416955.337221;121248224.123178;60608006.6698058;0.0720763528961743;0.0681785637263596;0.0309064547393881
31.6916666666667;1611664756.15015;1774590166.3092;1932891538.7462;115018694.909472;114737587.591725;61059439.6784609;0.0713663896108405;0.0646558229443797;0.0315896874990037
32.4666666666667;1628932964.05818;1764202382.72432;1943520030.55075;104662460.020171;129397375.05266;52405849.9976938;0.064252159130861;0.0733461060475624;0.0269643992209554
